Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor
20260610 124443 062,4182.00,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4182.00,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4182.00,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4182.00,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4182.00,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4181.90,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4181.90,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4181.90,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4181.80,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4181.80,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 062,4181.80,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 065,4182.70,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Buy
20260610 124443 067,4181.80,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 073,4181.80,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 077,4181.90,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 083,4181.90,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 085,4182.00,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,4,4181.80,5,4181.70,7,4181.60,5,4181.50,2,4181.40,6,4181.30,4,4181.20,3,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,2,4183.00,7,4183.10,9,4183.20,10,4183.30,9,Sell
20260610 124443 240,4182.20,1,4181.90,4182.20,0.30,4182.00,2,4181.90,3,4181.80,5,4181.70,7,4181.60,5,4181.50,3,4181.40,7,4181.30,4,4181.20,3,4181.10,4,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,3,4183.00,7,4183.10,9,4183.20,10,4183.30,10,Buy
20260610 124443 240,4182.20,1,4181.90,4182.20,0.30,4182.00,2,4181.90,3,4181.80,5,4181.70,7,4181.60,5,4181.50,3,4181.40,7,4181.30,4,4181.20,3,4181.10,4,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,3,4183.00,7,4183.10,9,4183.20,10,4183.30,10,Buy
20260610 124443 240,4182.30,1,4181.90,4182.20,0.30,4182.00,2,4181.90,3,4181.80,5,4181.70,7,4181.60,5,4181.50,3,4181.40,7,4181.30,4,4181.20,3,4181.10,4,4182.30,2,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,3,4183.00,7,4183.10,9,4183.20,10,4183.30,10,Buy
20260610 124443 537,4182.30,1,4182.10,4182.30,0.20,4182.10,1,4182.00,2,4181.90,3,4181.80,5,4181.70,7,4181.60,5,4181.50,3,4181.40,7,4181.30,4,4181.20,3,4182.40,3,4182.60,2,4182.70,3,4182.80,9,4182.90,3,4183.00,7,4183.10,9,4183.20,10,4183.30,10,4183.40,19,Buy
20260610 124444 055,4182.10,1,4181.90,4182.20,0.30,4181.90,2,4181.80,5,4181.70,8,4181.60,5,4181.50,4,4181.40,7,4181.30,4,4181.20,11,4181.10,12,4181.00,17,4182.20,2,4182.30,3,4182.40,4,4182.50,3,4182.60,3,4182.70,5,4182.80,7,4182.90,3,4183.00,3,4183.10,4,Mid
20260610 124444 055,4182.10,1,4181.90,4182.20,0.30,4181.90,2,4181.80,5,4181.70,8,4181.60,5,4181.50,4,4181.40,7,4181.30,4,4181.20,11,4181.10,12,4181.00,17,4182.20,2,4182.30,3,4182.40,4,4182.50,3,4182.60,3,4182.70,5,4182.80,7,4182.90,3,4183.00,3,4183.10,4,Mid
20260610 124444 369,4182.20,1,4181.90,4182.20,0.30,4181.90,1,4181.80,4,4181.70,8,4181.60,5,4181.50,4,4181.40,7,4181.30,4,4181.20,11,4181.10,12,4181.00,17,4182.20,2,4182.30,3,4182.40,4,4182.50,4,4182.60,3,4182.70,4,4182.80,7,4182.90,3,4183.00,3,4183.10,4,Buy
20260610 124444 725,4182.10,1,4182.10,4182.40,0.30,4182.10,1,4182.00,3,4181.90,2,4181.80,4,4181.70,8,4181.60,5,4181.50,4,4181.40,7,4181.30,4,4181.20,11,4182.30,1,4182.40,4,4182.50,3,4182.60,4,4182.70,4,4182.80,7,4182.90,3,4183.00,3,4183.10,4,4183.20,10,Sell
20260610 124444 864,4182.60,1,4182.50,4182.60,0.10,4182.50,1,4182.40,2,4182.30,5,4182.20,2,4182.10,2,4182.00,7,4181.90,1,4181.80,5,4181.70,7,4181.60,4,4182.60,1,4182.70,1,4182.80,4,4182.90,1,4183.00,2,4183.10,4,4183.20,5,4183.30,6,4183.40,19,4183.50,11,Buy
20260610 124445 051,4182.50,1,4182.30,4182.60,0.30,4182.30,3,4182.20,2,4182.10,3,4182.00,8,4181.90,2,4181.80,6,4181.70,8,4181.60,12,4181.50,12,4181.40,14,4182.60,1,4182.70,3,4182.80,3,4182.90,4,4183.00,5,4183.10,3,4183.20,4,4183.30,6,4183.40,14,4183.50,6,Mid
20260610 124445 106,4182.50,1,4182.30,4182.50,0.20,4182.30,1,4182.20,3,4182.10,2,4182.00,8,4181.90,3,4181.80,6,4181.70,8,4181.60,13,4181.50,12,4181.40,14,4182.50,2,4182.60,4,4182.70,3,4182.80,3,4182.90,3,4183.00,5,4183.10,4,4183.20,5,4183.30,7,4183.40,14,Buy
20260610 124445 108,4182.40,1,4182.30,4182.50,0.20,4182.30,1,4182.20,3,4182.10,2,4182.00,8,4181.90,3,4181.80,6,4181.70,8,4181.60,13,4181.50,12,4181.40,14,4182.50,2,4182.60,4,4182.70,3,4182.80,3,4182.90,3,4183.00,5,4183.10,4,4183.20,5,4183.30,7,4183.40,14,Mid
20260610 124446 052,4182.00,1,4181.90,4182.20,0.30,4181.80,5,4181.70,7,4181.60,5,4181.50,4,4181.40,6,4181.30,4,4181.20,11,4181.10,13,4181.00,17,4180.90,12,4182.20,2,4182.30,3,4182.40,3,4182.50,3,4182.60,5,4182.70,4,4182.80,4,4182.90,4,4183.00,6,4183.10,4,Mid
20260610 124446 052,4181.90,1,4181.90,4182.20,0.30,4181.80,5,4181.70,7,4181.60,5,4181.50,4,4181.40,6,4181.30,4,4181.20,11,4181.10,13,4181.00,17,4180.90,12,4182.20,2,4182.30,3,4182.40,3,4182.50,3,4182.60,5,4182.70,4,4182.80,4,4182.90,4,4183.00,6,4183.10,4,Sell
20260610 124447 510,4182.30,1,4182.00,4182.30,0.30,4182.00,3,4181.80,3,4181.70,5,4181.60,4,4181.50,4,4181.40,6,4181.30,4,4181.20,3,4181.10,11,4181.00,15,4182.30,1,4182.40,2,4182.50,3,4182.60,5,4182.70,4,4182.80,4,4182.90,4,4183.00,5,4183.10,4,4183.20,10,Buy
20260610 124447 516,4182.30,1,4182.00,4182.30,0.30,4182.00,3,4181.80,3,4181.70,5,4181.60,4,4181.50,4,4181.40,6,4181.30,4,4181.20,3,4181.10,11,4181.00,15,4182.30,1,4182.40,2,4182.50,3,4182.60,5,4182.70,4,4182.80,4,4182.90,4,4183.00,5,4183.10,4,4183.20,10,Buy
20260610 124447 983,4182.50,1,4182.20,4182.50,0.30,4182.20,2,4182.10,2,4182.00,6,4181.80,5,4181.70,6,4181.60,4,4181.50,4,4181.40,12,4181.30,10,4181.20,9,4182.50,2,4182.60,2,4182.70,2,4182.80,2,4182.90,4,4183.00,4,4183.10,3,4183.20,4,4183.30,7,4183.40,19,Buy
20260610 124448 065,4182.30,1,4182.30,4182.60,0.30,4182.30,2,4182.20,2,4182.10,2,4182.00,6,4181.80,5,4181.70,6,4181.60,4,4181.50,4,4181.40,12,4181.30,10,4182.60,1,4182.70,2,4182.80,2,4182.90,3,4183.00,5,4183.10,4,4183.20,5,4183.30,7,4183.40,19,4183.50,11,Sell
20260610 124448 065,4182.20,1,4182.00,4182.20,0.20,4182.00,1,4181.90,1,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,4,4181.20,3,4181.10,11,4182.20,1,4182.30,2,4182.40,3,4182.50,5,4182.60,7,4182.70,3,4182.80,3,4182.90,5,4183.00,5,4183.10,4,Buy
20260610 124448 065,4182.20,1,4182.00,4182.20,0.20,4182.00,1,4181.90,1,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,4,4181.20,3,4181.10,11,4182.20,1,4182.30,2,4182.40,3,4182.50,5,4182.60,7,4182.70,3,4182.80,3,4182.90,5,4183.00,5,4183.10,4,Buy
